Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
COLLINS FOODS LTD ORDINARY,CKF,1441342,117814593,1.22339853
COMET RIDGE LIMITED ORDINARY,COI,567741,1110524434,.05112368
COMMONWEALTH BANK. ORDINARY,CBA,23288970,1673580358,1.39156569
COMPUTERSHARE LTD ORDINARY,CPU,4901349,586966209,.83503086
CONICO LTD ORDINARY,CNJ,74032,2201527528,.00336276
CONRADASIAENERGYLTD CDI 1:1,CRD,99355,179227712,.05543507
CONTACT ENERGY LTD ORD FOR. EXEMPT NZX,CEN,13321,265010218,.0050266
COOPER ENERGY LTD ORDINARY,COE,28201594,2640038229,1.06822673
CORE LITHIUM ORDINARY,CXO,48699527,2143015544,2.27247661
CORONADO GLOBAL RES CDI 10:1,CRN,27466858,1676453730,1.63839046
CORP TRAVEL LIMITED ORDINARY,CTD,11489243,146325746,7.85182602
CREDIT CLEAR ORDINARY,CCR,66511,420530480,.01581598
CREDIT CORP GROUP ORDINARY,CCP,1045082,68066856,1.53537575
CRITICAL RESOURCES ORDINARY,CRR,269227,1963683612,.0137103
CROMWELL PROP FPO/UNITS STAPLED,CMW,7080672,2618866699,.27037161
CSL LIMITED ORDINARY,CSL,2184239,484206562,.45109653
CVC LIMITED ORDINARY,CVC,306,116824094,.00026193
CYCLOPHARM LIMITED ORDINARY,CYC,1159,111136850,.00104286
CYGNUS METALS LTD ORDINARY,CY5,98995,474649675,.02085643
CYNATA THERAPEUTICS ORDINARY,CYP,1066911,180676271,.59050975
DALRYMPLE BAY FPO/NOTES STAPLED,DBI,1343101,495761667,.27091667
DATA#3 LIMITED ORDINARY,DTL,3723054,154908333,2.40339169
DE GREY MINING ORDINARY,DEG,43343021,2396757505,1.80840243
DEEP YELLOW LIMITED ORDINARY,DYL,96110228,969741926,9.91090778
DELTA LITHIUM ORDINARY,DLI,175285,713407142,.02457012
DETERRA ORDINARY,DRR,7554866,528810043,1.42865403
DEVELOP GLOBAL LTD ORDINARY,DVP,5957231,271425090,2.19479747
DEVEX RESOURCES LTD ORDINARY,DEV,2203977,441690671,.49898654
DEXUS CONV RET REIT UNITS STAPLED,DXC,358759,137756563,.2604297
DEXUS INDUSTRIA REIT FPO/UNITS STAPLED,DXI,134862,317269911,.04250702
DEXUS UNITS STAPLED,DXS,62141757,1075565246,5.77759064
DGL GROUP LIMITED ORDINARY,DGL,32314,285225261,.01132929
DICKER DATA LIMITED ORDINARY,DDR,426995,180482714,.23658498
DIMERIX LTD ORDINARY,DXB,1103174,557832916,.19776065
DOCTOR CARE ANYWHERE CDI 1:1,DOC,36697,366642246,.01000894
DOMAIN HOLDINGS AUS ORDINARY,DHG,10938868,631657153,1.731773
DOMINO PIZZA ENTERPR ORDINARY,DMP,8541931,92459635,9.2385515
DOWNER EDI LIMITED ORDINARY,DOW,9066989,671573679,1.35011083
DREDNOUGHT RESOURCES ORDINARY,DRE,363549,3752750000,.00968754
DRONESHIELD LIMITED ORDINARY,DRO,33260078,872115159,3.81372548
DUBBER CORP LTD ORDINARY,DUB,5727073,1387146935,.41286708
DUG TECH ORDINARY,DUG,548220,133912860,.40938563
DURATEC ORDINARY,DUR,1648,252041613,.00065386
DXN LIMITED ORDINARY,DXN,1,233589354,.00000043
EAGERS AUTOMOTIVE ORDINARY,APE,14039368,258074137,5.44005229
EASTERN RESOURCES ORDINARY,EFE,75067,1241946461,.0060443
EBOS GROUP LTD ORDINARY,EBO,507830,194675165,.26086019
ECOGRAF LIMITED ORDINARY,EGR,1212875,454131819,.26707554
EDEN INV LTD ORDINARY,EDE,38006,4108209381,.00092512
ELANOR COMM PROP UNITS STAPLED,ECF,748950,407002325,.18401615
ELDERS LIMITED ORDINARY,ELD,3747230,158041121,2.37104747
ELECTRO OPTIC SYS. ORDINARY,EOS,636353,192952099,.32979843
ELEVATE URANIUM LTD ORDINARY,EL8,5653635,340891557,1.6584849
ELIXIR ENERGY LTD ORDINARY,EXR,3059866,1196810799,.25566831
EMECO HOLDINGS ORDINARY,EHL,4556177,518374757,.87893497
EMERALD RES NL ORDINARY,EMR,6632233,657045406,1.00940254
EML PAYMENTS LTD ORDINARY,EML,8330827,378315490,2.20208456
EMPIRE ENERGY LTD ORDINARY,EEG,26083,1017303219,.00256394
ENCOUNTER RESOURCES ORDINARY,ENR,95994,451828054,.02124569
ENDEAVOUR ORDINARY,EDV,63347327,1790980017,3.53702031
ENERO GROUP LTD ORDINARY,EGG,5398,90735121,.00594918
ENLITIC INC. CDI 1:1 USPROHIBITED,ENL,722892,557460822,.12967584
ENTERPRISE METALS ORDINARY,ENT,39760,1178317251,.0033743
ENVIROSUITE LTD ORDINARY,EVS,10076027,1426772203,.70621133
EQUITY HL ORDINARY,EQT,39667,26759133,.14823724
EUREKA GROUP LTD ORDINARY,EGH,240,413347550,.00005806
EUROMANGANESE CDI 1:1,EMN,14635,212552001,.00688537
EVOLUTION MINING LTD ORDINARY,EVN,27385866,1989217473,1.37671554
EVT LIMITED ORDINARY,EVT,2889455,162522422,1.77788084
FALCONMETALSLTD ORDINARY,FAL,39065,177000000,.02207062
FBR LTD ORDINARY,FBR,28304957,4824397345,.58670451
FENIX RESOURCES LTD ORDINARY,FEX,23138,720617920,.00321086
FINEOS CORP HOLD PLC CDI 1:1,FCL,2809578,338319665,.83045069
FIREFLY METALS LTD ORDINARY,FFM,1153891,561813683,.20538677
FISHER & PAYKEL H. ORD FOR. EXEMPT NZX,FPH,2434080,586124907,.4152835
FLEETPARTNERS GROUP ORDINARY,FPR,353893,235456764,.15030063
FLEETWOOD LTD ORDINARY,FWD,137763,94137579,.1463422
